"from_station_id","to_station_id","fare_octo_adult","fare_octo_child","fare_octo_elderly","fare_octo_pwd","fare_octo_student","fare_single_adult","fare_single_child","fare_single_elderly"
"15","400",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"15","425",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"15","430",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"15","435",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"15","445",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"15","448",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"15","450",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"15","455",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"15","460",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"15","490",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"15","500",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"15","468",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"15","480",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"15","510",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"15","520",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"15","530",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"15","540",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"15","550",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"15","560",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"15","570",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"15","580",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"15","590",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"15","600",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"20","1",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"20","10",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"20","15",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"20","20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"20","30",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"20","240",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"20","250",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"20","260",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","265",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","920",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","40",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"20","50",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"20","60",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"20","70",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","75",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","80",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","170",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"20","180",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","190",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"20","200",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"20","212",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","220",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","230",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","270",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","275",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","280",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","295",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"20","300",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","310",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","320",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","330",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"20","90",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"20","100",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"20","110",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"20","120",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"20","130",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"20","140",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"20","150",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"20","160",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"20","340",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"20","350",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"20","360",5.50,2.70,2.00,2.00,2.70,6.00,3.00,3.00
"20","370",5.50,2.70,2.00,2.00,2.70,6.00,3.00,3.00
"20","380",5.50,2.70,2.00,2.00,2.70,7.00,3.50,3.50
"20","390",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","400",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","425",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","430",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","435",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","445",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","448",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","450",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","455",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","460",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","490",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","500",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","468",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","480",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","510",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","520",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"20","530",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"20","540",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"20","550",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"20","560",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","570",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","580",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","590",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"20","600",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"30","1",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","10",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","15",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","20",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","30",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"30","240",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","250",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"30","260",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"30","265",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"30","920",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"30","40",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","50",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","60",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","70",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","75",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"30","80",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"30","170",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","180",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","190",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","200",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","212",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","220",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"30","230",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"30","270",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"30","275",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"30","280",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","295",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","300",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"30","310",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"30","320",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"30","330",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"30","90",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"30","100",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"30","110",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"30","120",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"30","130",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
